recordID,vehicle,photo,brand,colourEdition,licencePlate,class,dailyDeposit,monthlyDeposit,dailyRental,weeklyRental,status,remarks,rentalHistory
,Yamaha R15M,https://vroomleasing.com.sg/wp-content/uploads/2022/11/Yamaha-R15-V4M-Silver.jpg,Yamaha,Monster,6246,2B,$100,$100,$55,$299,,,
,Yamaha R15M,https://vroomleasing.com.sg/wp-content/uploads/2022/11/Yamaha-R15-V4M-Silver.jpg,Yamaha,60th Anniversary,5592,2B,$100,$100,$55,$299,,,
,Yamaha R15V2,https://vroomleasing.com.sg/wp-content/uploads/2021/12/Yamaha-YZF-R15-v2-Orange.jpg,Yamaha,,7112,2B,$100,$100,$40,$240,,,
,Yamaha R15V3,https://vroomleasing.com.sg/wp-content/uploads/2021/12/Yamaha-YZF-R15-v2-Blue.jpg,Yamaha,,7570,2B,$100,$100,$50,$280,,,
,Yamaha R3,https://vroomleasing.com.sg/wp-content/uploads/2021/12/1-2-of-113-scaled.jpg,Yamaha,,8158,2A,$100,$100,$70,$350,,,
,Yamaha R6,https://vroomleasing.com.sg/wp-content/uploads/2021/12/1-3-of-25-scaled.jpg,Yamaha,Black,9827,2,$200,$200,$100,$599,,,
,Yamaha R6,https://vroomleasing.com.sg/wp-content/uploads/2021/12/1-3-of-25-scaled.jpg,Yamaha,Blue,657,2,$200,$200,$100,$599,,,
,Yamaha RXZ,,Yamaha,,7656,2B,$100,$100,$50,$280,,,
,Yamaha Sniper,https://vroomleasing.com.sg/wp-content/uploads/2023/11/1-10-of-10-1364x2048.jpg,Yamaha,,8865,2B,$100,$100,$40,$250,,,
,Yamaha Sniper,https://vroomleasing.com.sg/wp-content/uploads/2023/11/1-10-of-10-1364x2048.jpg,Yamaha,V3,5769,2B,$100,$100,$55,$299,,,
,Yamaha Spark,https://vroomleasing.com.sg/wp-content/uploads/2022/01/Yamaha-Spark-T135-Red.jpg,Yamaha,,7270,2B,$100,$100,$40,$240,,,
,Yamaha Spark,https://vroomleasing.com.sg/wp-content/uploads/2022/01/Yamaha-Spark-T135-Red.jpg,Yamaha,,8182,2B,$100,$100,$40,$240,,,
,Yamaha WR155,https://vroomleasing.com.sg/wp-content/uploads/2023/12/SK3309MT-2-1536x1023.jpg,Yamaha,,2999,2B,$100,$100,$55,$299,,,
,Yamaha WR155,https://vroomleasing.com.sg/wp-content/uploads/2023/12/SK3309MT-2-1536x1023.jpg,Yamaha,,5601,2B,$100,$100,$55,$299,,,
,Yamaha X1R AM,https://vroomleasing.com.sg/wp-content/uploads/2022/04/20220401_150142-scaled-e1649699030198.jpg,Yamaha,,8770,2B,$100,$100,$40,$240,,,
,Yamaha X1R AM,https://vroomleasing.com.sg/wp-content/uploads/2022/04/20220401_150142-scaled-e1649699030198.jpg,Yamaha,,5222,2B,$100,$100,$40,$240,,,
,Yamaha XMAX300,https://vroomleasing.com.sg/wp-content/uploads/2023/11/1-2-of-17-1364x2048.jpg,Yamaha,V1,8170,2A,$100,$100,$80,$350,,,
,Yamaha XMAX300,https://vroomleasing.com.sg/wp-content/uploads/2021/12/Yamaha-XMAX-300.jpg,Yamaha,V2,1997,2A,$100,$100,$90,$420,,,
,Yamaha XMAX300,https://vroomleasing.com.sg/wp-content/uploads/2021/12/Yamaha-XMAX-300.jpg,Yamaha,V2,1889,2A,$100,$100,$90,$420,,,
,Yamaha XSR155,https://vroomleasing.com.sg/wp-content/uploads/2022/11/1-6-of-19-1364x2048.jpg,Yamaha,60th Anniversary,5681,2B,$100,$100,$60,$299,,,
,Yamaha XSR155,https://vroomleasing.com.sg/wp-content/uploads/2022/11/1-6-of-19-1364x2048.jpg,Yamaha,Grey,3976,2B,$100,$100,$60,$299,,,
